SCHEMBL_ID	InChIKey	PUBCHEM_CID	CHEMBL_ID
SCHEMBL2372	HTPHKKKMEABKJE-UHFFFAOYSA-N	87057646	
SCHEMBL2386	DEHHYUARFKIUDI-UHFFFAOYSA-N	1681	CHEMBL110611
SCHEMBL2412	AXKPFOAXAHJUAG-UHFFFAOYSA-N	4830	CHEMBL440294
SCHEMBL2417	JKMHFZQWWAIEOD-UHFFFAOYSA-N	23830	
SCHEMBL2430	GJGOWHNOGHVUJK-UHFFFAOYSA-M	20351034	
SCHEMBL2442	AXISYYRBXTVTFY-UHFFFAOYSA-N	8042	CHEMBL207602
SCHEMBL2463	DYDNPESBYVVLBO-UHFFFAOYSA-N	7671	CHEMBL1232659
SCHEMBL2471	RYMZZMVNJRMUDD-HGQWONQESA-N	54454	CHEMBL1064
SCHEMBL2472	RYMZZMVNJRMUDD-MKPQAFFTSA-N	11865464	
SCHEMBL2509	SRSXLGNVWSONIS-UHFFFAOYSA-N	7371	CHEMBL1422641
SCHEMBL2520	BPRHUIZQVSMCRT-VEUZHWNKSA-N	446157	CHEMBL1496
SCHEMBL2532	JQVDAXLFBXTEQA-UHFFFAOYSA-N	8148	CHEMBL3184528
SCHEMBL2537	GLMUAFMGXXHGLU-VQAITOIOSA-N	nan	
SCHEMBL2539	GLMUAFMGXXHGLU-HQUCKCIJSA-N	nan	
SCHEMBL2540	KSMVZQYAVGTKIV-UHFFFAOYSA-N	8175	CHEMBL2228377
SCHEMBL2542	ACWBQPMHZXGDFX-QFIPXVFZSA-N	60846	CHEMBL1069
SCHEMBL2548	KXHPPCXNWTUNSB-UHFFFAOYSA-M	5963	CHEMBL1372143
SCHEMBL2564	QPFMBZIOSGYJDE-UHFFFAOYSA-N	6591	CHEMBL47258
SCHEMBL2565	QVLAWKAXOMEXPM-UHFFFAOYSA-N	12418	CHEMBL155816
SCHEMBL2577	ASUTZQLVASHGKV-JDFRZJQESA-N	9651	CHEMBL659
